Rank,Club,Country,Level,Elo,From,To
None,Chelsea,ENG,1,1551.14025879,1946-07-07,1946-08-31
None,Chelsea,ENG,1,1556.31469727,1946-09-01,1946-09-04
None,Chelsea,ENG,1,1538.79040527,1946-09-05,1946-09-07
None,Chelsea,ENG,1,1530.12475586,1946-09-08,1946-09-09
None,Chelsea,ENG,1,1533.3885498,1946-09-10,1946-09-14
None,Chelsea,ENG,1,1542.07177734,1946-09-15,1946-09-18
None,Chelsea,ENG,1,1546.28259277,1946-09-19,1946-09-21
None,Chelsea,ENG,1,1540.74658203,1946-09-22,1946-09-28
None,Chelsea,ENG,1,1538.52294922,1946-09-29,1946-09-29
None,Chelsea,ENG,1,1555.52294922,1946-09-30,1946-10-03
None,Chelsea,ENG,1,1561.52294922,1946-10-04,1946-10-05
None,Chelsea,ENG,1,1556.95458984,1946-10-06,1946-10-12
None,Chelsea,ENG,1,1541.18981934,1946-10-13,1946-10-19
None,Chelsea,ENG,1,1556.26000977,1946-10-20,1946-10-26
None,Chelsea,ENG,1,1561.41564941,1946-10-27,1946-11-02
None,Chelsea,ENG,1,1557.41882324,1946-11-03,1946-11-09
None,Chelsea,ENG,1,1562.45349121,1946-11-10,1946-11-16
None,Chelsea,ENG,1,1589.95715332,1946-11-17,1946-11-23
None,Chelsea,ENG,1,1576.13354492,1946-11-24,1946-11-30
None,Chelsea,ENG,1,1571.63061523,1946-12-01,1946-12-07
None,Chelsea,ENG,1,1568.69519043,1946-12-08,1946-12-14
None,Chelsea,ENG,1,1584.52416992,1946-12-15,1946-12-21
None,Chelsea,ENG,1,1577.1796875,1946-12-22,1946-12-25
None,Chelsea,ENG,1,1568.55395508,1946-12-26,1946-12-26
None,Chelsea,ENG,1,1572.71374512,1946-12-27,1946-12-28
None,Chelsea,ENG,1,1575.16247559,1946-12-29,1947-01-04
None,Chelsea,ENG,1,1585.84838867,1947-01-05,1947-01-18
None,Chelsea,ENG,1,1578.84387207,1947-01-19,1947-02-01
