Rank,Club,Country,Level,Elo,From,To
None,Hull,ENG,2,1343.11486816,1949-07-02,1949-08-20
None,Hull,ENG,2,1349.24536133,1949-08-21,1949-08-22
None,Hull,ENG,2,1344.36047363,1949-08-23,1949-08-27
None,Hull,ENG,2,1355.99804688,1949-08-28,1949-09-01
None,Hull,ENG,2,1366.99328613,1949-09-02,1949-09-03
None,Hull,ENG,2,1363.85925293,1949-09-04,1949-09-05
None,Hull,ENG,2,1359.50061035,1949-09-06,1949-09-10
None,Hull,ENG,2,1372.4017334,1949-09-11,1949-09-17
None,Hull,ENG,2,1378.44458008,1949-09-18,1949-09-22
None,Hull,ENG,2,1350.44458008,1949-09-23,1949-09-24
None,Hull,ENG,2,1344.1784668,1949-09-25,1949-10-01
None,Hull,ENG,2,1344.10839844,1949-10-02,1949-10-08
None,Hull,ENG,2,1363.234375,1949-10-09,1949-10-15
None,Hull,ENG,2,1378.25170898,1949-10-16,1949-10-16
None,Hull,ENG,2,1401.25170898,1949-10-17,1949-10-22
None,Hull,ENG,2,1411.20239258,1949-10-23,1949-10-29
None,Hull,ENG,2,1416.19372559,1949-10-30,1949-11-05
None,Hull,ENG,2,1408.36987305,1949-11-06,1949-11-12
None,Hull,ENG,2,1413.11499023,1949-11-13,1949-11-19
None,Hull,ENG,2,1435.43164062,1949-11-20,1949-11-26
None,Hull,ENG,2,1442.85449219,1949-11-27,1949-12-03
None,Hull,ENG,2,1450.51135254,1949-12-04,1949-12-10
None,Hull,ENG,2,1435.29882812,1949-12-11,1949-12-17
None,Hull,ENG,2,1438.38049316,1949-12-18,1949-12-24
None,Hull,ENG,2,1447.46862793,1949-12-25,1949-12-26
None,Hull,ENG,2,1438.37683105,1949-12-27,1949-12-27
None,Hull,ENG,2,1445.30761719,1949-12-28,1949-12-31
None,Hull,ENG,2,1431.46936035,1950-01-01,1950-01-14
None,Hull,ENG,2,1437.06274414,1950-01-15,1950-01-21
None,Hull,ENG,2,1450.02502441,1950-01-22,1950-02-04
None,Hull,ENG,2,1448.75415039,1950-02-05,1950-02-18
None,Hull,ENG,2,1443.66760254,1950-02-19,1950-02-25
None,Hull,ENG,2,1438.89208984,1950-02-26,1950-03-04
None,Hull,ENG,2,1433.54064941,1950-03-05,1950-03-11
