Rank,Club,Country,Level,Elo,From,To
None,Reading,ENG,2,1414.14477539,1986-07-01,1986-08-23
None,Reading,ENG,2,1405.66943359,1986-08-24,1986-08-30
None,Reading,ENG,2,1400.18457031,1986-08-31,1986-09-06
None,Reading,ENG,2,1402.55297852,1986-09-07,1986-09-13
None,Reading,ENG,2,1398.55200195,1986-09-14,1986-09-17
None,Reading,ENG,2,1398.9486084,1986-09-18,1986-09-20
None,Reading,ENG,2,1410.50268555,1986-09-21,1986-09-27
None,Reading,ENG,2,1429.33874512,1986-09-28,1986-10-01
None,Reading,ENG,2,1420.90466309,1986-10-02,1986-10-04
None,Reading,ENG,2,1435.79980469,1986-10-05,1986-10-11
None,Reading,ENG,2,1439.73657227,1986-10-12,1986-10-18
None,Reading,ENG,2,1456.23913574,1986-10-19,1986-10-21
None,Reading,ENG,2,1460.46691895,1986-10-22,1986-10-22
None,Reading,ENG,2,1463.53759766,1986-10-23,1986-10-25
None,Reading,ENG,2,1455.22167969,1986-10-26,1986-11-01
None,Reading,ENG,2,1444.66149902,1986-11-02,1986-11-05
None,Reading,ENG,2,1440.90063477,1986-11-06,1986-11-08
None,Reading,ENG,2,1438.61437988,1986-11-09,1986-11-15
None,Reading,ENG,2,1445.78979492,1986-11-16,1986-11-22
None,Reading,ENG,2,1436.87316895,1986-11-23,1986-12-06
None,Reading,ENG,2,1428.67590332,1986-12-07,1986-12-13
None,Reading,ENG,2,1418.61303711,1986-12-14,1986-12-19
None,Reading,ENG,2,1432.34472656,1986-12-20,1986-12-26
None,Reading,ENG,2,1432.31201172,1986-12-27,1986-12-27
None,Reading,ENG,2,1436.21472168,1986-12-28,1987-01-01
None,Reading,ENG,2,1433.81640625,1987-01-02,1987-01-24
None,Reading,ENG,2,1429.55273438,1987-01-25,1987-01-31
None,Reading,ENG,2,1436.57189941,1987-02-01,1987-02-07
None,Reading,ENG,2,1445.92358398,1987-02-08,1987-02-14
None,Reading,ENG,2,1441.0144043,1987-02-15,1987-02-17
None,Reading,ENG,2,1446.53039551,1987-02-18,1987-02-21
None,Reading,ENG,2,1452.66943359,1987-02-22,1987-02-28
None,Reading,ENG,2,1455.96899414,1987-03-01,1987-03-06
None,Reading,ENG,2,1448.97521973,1987-03-07,1987-03-14
None,Reading,ENG,2,1454.2286377,1987-03-15,1987-03-21
None,Reading,ENG,2,1462.59423828,1987-03-22,1987-04-04
None,Reading,ENG,2,1455.68688965,1987-04-05,1987-04-11
None,Reading,ENG,2,1444.18395996,1987-04-12,1987-04-14
None,Reading,ENG,2,1448.13806152,1987-04-15,1987-04-18
None,Reading,ENG,2,1449.58972168,1987-04-19,1987-04-20
None,Reading,ENG,2,1454.33032227,1987-04-21,1987-04-22
None,Reading,ENG,2,1461.52416992,1987-04-23,1987-04-25
None,Reading,ENG,2,1451.64526367,1987-04-26,1987-05-02
None,Reading,ENG,2,1443.99609375,1987-05-03,1987-05-04
None,Reading,ENG,2,1456.09082031,1987-05-05,1987-05-09
None,Reading,ENG,2,1462.02514648,1987-05-10,1987-08-22
None,Reading,ENG,2,1467.42541504,1987-08-23,1987-08-29
None,Reading,ENG,2,1457.00439453,1987-08-30,1987-09-01
None,Reading,ENG,2,1468.68469238,1987-09-02,1987-09-05
None,Reading,ENG,2,1480.06628418,1987-09-06,1987-09-12
None,Reading,ENG,2,1469.15185547,1987-09-13,1987-09-16
None,Reading,ENG,2,1459.23864746,1987-09-17,1987-09-19
None,Reading,ENG,2,1450.77954102,1987-09-20,1987-09-26
None,Reading,ENG,2,1439.59265137,1987-09-27,1987-09-29
None,Reading,ENG,2,1443.14855957,1987-09-30,1987-10-03
None,Reading,ENG,2,1433.38183594,1987-10-04,1987-10-10
None,Reading,ENG,2,1437.43188477,1987-10-11,1987-10-17
None,Reading,ENG,2,1442.66821289,1987-10-18,1987-10-20
None,Reading,ENG,2,1434.51391602,1987-10-21,1987-10-24
None,Reading,ENG,2,1434.82189941,1987-10-25,1987-10-31
None,Reading,ENG,2,1432.45385742,1987-11-01,1987-11-07
None,Reading,ENG,2,1429.61401367,1987-11-08,1987-11-14
None,Reading,ENG,2,1421.05773926,1987-11-15,1987-11-21
None,Reading,ENG,2,1412.5300293,1987-11-22,1987-11-28
None,Reading,ENG,2,1412.37402344,1987-11-29,1987-12-01
None,Reading,ENG,2,1406.56054688,1987-12-02,1987-12-05
None,Reading,ENG,2,1412.36572266,1987-12-06,1987-12-12
None,Reading,ENG,2,1404.65356445,1987-12-13,1987-12-19
None,Reading,ENG,2,1399.05407715,1987-12-20,1987-12-26
None,Reading,ENG,2,1390.39916992,1987-12-27,1987-12-28
None,Reading,ENG,2,1404.34777832,1987-12-29,1988-01-01
None,Reading,ENG,2,1421.91052246,1988-01-02,1988-01-23
None,Reading,ENG,2,1428.04577637,1988-01-24,1988-01-30
None,Reading,ENG,2,1419.90625,1988-01-31,1988-02-06
None,Reading,ENG,2,1414.79370117,1988-02-07,1988-02-13
None,Reading,ENG,2,1407.33972168,1988-02-14,1988-02-20
None,Reading,ENG,2,1408.6706543,1988-02-21,1988-02-27
None,Reading,ENG,2,1419.78356934,1988-02-28,1988-03-05
None,Reading,ENG,2,1432.81982422,1988-03-06,1988-03-12
None,Reading,ENG,2,1430.62133789,1988-03-13,1988-03-19
None,Reading,ENG,2,1423.7364502,1988-03-20,1988-04-02
None,Reading,ENG,2,1423.57019043,1988-04-03,1988-04-04
None,Reading,ENG,2,1418.84716797,1988-04-05,1988-04-09
None,Reading,ENG,2,1426.67272949,1988-04-10,1988-04-13
None,Reading,ENG,2,1424.01696777,1988-04-14,1988-04-20
None,Reading,ENG,2,1418.26855469,1988-04-21,1988-04-23
None,Reading,ENG,2,1415.05065918,1988-04-24,1988-04-30
None,Reading,ENG,2,1420.90063477,1988-05-01,1988-05-02
None,Reading,ENG,2,1426.55883789,1988-05-03,1988-05-07
None,Reading,ENG,2,1424.70568848,1988-05-08,1988-07-03
None,Reading,ENG,2,1417.90356445,1994-07-13,1994-08-13
None,Reading,ENG,2,1413.88598633,1994-08-14,1994-08-20
None,Reading,ENG,2,1413.93725586,1994-08-21,1994-08-27
None,Reading,ENG,2,1430.04492188,1994-08-28,1994-08-30
None,Reading,ENG,2,1444.45812988,1994-08-31,1994-09-03
None,Reading,ENG,2,1444.61035156,1994-09-04,1994-09-10
None,Reading,ENG,2,1463.72497559,1994-09-11,1994-09-13
None,Reading,ENG,2,1461.31274414,1994-09-14,1994-09-14
None,Reading,ENG,2,1457.96362305,1994-09-15,1994-09-15
None,Reading,ENG,2,1458.79016113,1994-09-16,1994-09-17
None,Reading,ENG,2,1469.06994629,1994-09-18,1994-09-24
None,Reading,ENG,2,1470.96069336,1994-09-25,1994-09-27
None,Reading,ENG,2,1460.9876709,1994-09-28,1994-09-28
None,Reading,ENG,2,1459.28796387,1994-09-29,1994-09-29
None,Reading,ENG,2,1465.62524414,1994-09-30,1994-10-01
None,Reading,ENG,2,1474.29956055,1994-10-02,1994-10-08
None,Reading,ENG,2,1484.61413574,1994-10-09,1994-10-15
None,Reading,ENG,2,1490.52807617,1994-10-16,1994-10-18
None,Reading,ENG,2,1486.39550781,1994-10-19,1994-10-19
None,Reading,ENG,2,1483.70788574,1994-10-20,1994-10-20
None,Reading,ENG,2,1484.28930664,1994-10-21,1994-10-22
None,Reading,ENG,2,1469.9934082,1994-10-23,1994-10-29
None,Reading,ENG,2,1458.66149902,1994-10-30,1994-11-01
None,Reading,ENG,2,1448.89025879,1994-11-02,1994-11-02
None,Reading,ENG,2,1455.5625,1994-11-03,1994-11-03
None,Reading,ENG,2,1461.4942627,1994-11-04,1994-11-05
None,Reading,ENG,2,1458.00317383,1994-11-06,1994-11-19
None,Reading,ENG,2,1445.82910156,1994-11-20,1994-11-23
None,Reading,ENG,2,1438.78759766,1994-11-24,1994-11-26
None,Reading,ENG,2,1427.06506348,1994-11-27,1994-12-03
None,Reading,ENG,2,1438.41784668,1994-12-04,1994-12-07
None,Reading,ENG,2,1440.33532715,1994-12-08,1994-12-10
None,Reading,ENG,2,1441.81225586,1994-12-11,1994-12-18
None,Reading,ENG,2,1452.77856445,1994-12-19,1994-12-26
None,Reading,ENG,2,1450.41223145,1994-12-27,1994-12-28
None,Reading,ENG,2,1463.37304688,1994-12-29,1994-12-31
None,Reading,ENG,2,1460.96643066,1995-01-01,1995-01-02
None,Reading,ENG,2,1455.39611816,1995-01-03,1995-01-14
None,Reading,ENG,2,1439.60400391,1995-01-15,1995-01-21
None,Reading,ENG,2,1448.87353516,1995-01-22,1995-02-04
None,Reading,ENG,2,1461.23205566,1995-02-05,1995-02-11
None,Reading,ENG,2,1468.28417969,1995-02-12,1995-02-18
None,Reading,ENG,2,1463.35266113,1995-02-19,1995-02-21
None,Reading,ENG,2,1469.19763184,1995-02-22,1995-02-25
None,Reading,ENG,2,1461.51403809,1995-02-26,1995-03-02
None,Reading,ENG,2,1457.2911377,1995-03-03,1995-03-04
None,Reading,ENG,2,1468.7746582,1995-03-05,1995-03-08
None,Reading,ENG,2,1460.75854492,1995-03-09,1995-03-11
None,Reading,ENG,2,1443.20532227,1995-03-12,1995-03-16
None,Reading,ENG,2,1462.34802246,1995-03-17,1995-03-18
None,Reading,ENG,2,1472.82080078,1995-03-19,1995-03-21
None,Reading,ENG,2,1479.23059082,1995-03-22,1995-03-25
None,Reading,ENG,2,1484.44677734,1995-03-26,1995-04-01
None,Reading,ENG,2,1492.54174805,1995-04-02,1995-04-06
None,Reading,ENG,2,1487.10290527,1995-04-07,1995-04-08
None,Reading,ENG,2,1480.7845459,1995-04-09,1995-04-15
None,Reading,ENG,2,1476.73999023,1995-04-16,1995-04-17
None,Reading,ENG,2,1487.02880859,1995-04-18,1995-04-20
None,Reading,ENG,2,1490.72460938,1995-04-21,1995-04-21
None,Reading,ENG,2,1497.90722656,1995-04-22,1995-04-29
None,Reading,ENG,2,1505.87365723,1995-04-30,1995-05-07
None,Reading,ENG,2,1510.36413574,1995-05-08,1995-05-10
None,Reading,ENG,2,1505.69458008,1995-05-11,1995-05-14
None,Reading,ENG,2,1520.296875,1995-05-15,1995-05-17
None,Reading,ENG,2,1519.87780762,1995-05-18,1995-05-29
None,Reading,ENG,2,1512.06152344,1995-05-30,1995-08-10
None,Reading,ENG,2,1509.63378906,1995-08-11,1995-08-12
None,Reading,ENG,2,1511.09643555,1995-08-13,1995-08-19
None,Reading,ENG,2,1516.62280273,1995-08-20,1995-08-24
None,Reading,ENG,2,1511.32849121,1995-08-25,1995-08-26
None,Reading,ENG,2,1512.32714844,1995-08-27,1995-08-29
None,Reading,ENG,2,1501.10705566,1995-08-30,1995-09-01
None,Reading,ENG,2,1501.9786377,1995-09-02,1995-09-09
None,Reading,ENG,2,1507.84375,1995-09-10,1995-09-12
None,Reading,ENG,2,1500.25927734,1995-09-13,1995-09-13
None,Reading,ENG,2,1492.4095459,1995-09-14,1995-09-14
None,Reading,ENG,2,1492.6204834,1995-09-15,1995-09-16
None,Reading,ENG,2,1496.08325195,1995-09-17,1995-09-23
None,Reading,ENG,2,1491.33227539,1995-09-24,1995-09-26
None,Reading,ENG,2,1482.28759766,1995-09-27,1995-09-27
None,Reading,ENG,2,1476.8918457,1995-09-28,1995-09-28
None,Reading,ENG,2,1476.96044922,1995-09-29,1995-09-30
None,Reading,ENG,2,1478.72790527,1995-10-01,1995-10-07
None,Reading,ENG,2,1469.07177734,1995-10-08,1995-10-14
None,Reading,ENG,2,1475.44873047,1995-10-15,1995-10-17
None,Reading,ENG,2,1472.15307617,1995-10-18,1995-10-18
None,Reading,ENG,2,1468.55688477,1995-10-19,1995-10-19
None,Reading,ENG,2,1467.25024414,1995-10-20,1995-10-21
None,Reading,ENG,2,1461.34631348,1995-10-22,1995-10-28
None,Reading,ENG,2,1443.9510498,1995-10-29,1995-10-31
None,Reading,ENG,2,1430.5703125,1995-11-01,1995-11-01
None,Reading,ENG,2,1427.9888916,1995-11-02,1995-11-02
None,Reading,ENG,2,1425.66699219,1995-11-03,1995-11-04
None,Reading,ENG,2,1442.26464844,1995-11-05,1995-11-11
None,Reading,ENG,2,1432.18139648,1995-11-12,1995-11-18
None,Reading,ENG,2,1430.14672852,1995-11-19,1995-11-21
None,Reading,ENG,2,1425.59851074,1995-11-22,1995-11-22
None,Reading,ENG,2,1422.06140137,1995-11-23,1995-11-25
None,Reading,ENG,2,1424.32568359,1995-11-26,1995-12-02
None,Reading,ENG,2,1432.08557129,1995-12-03,1995-12-05
None,Reading,ENG,2,1435.9465332,1995-12-06,1995-12-06
None,Reading,ENG,2,1437.6920166,1995-12-07,1995-12-09
None,Reading,ENG,2,1429.93103027,1995-12-10,1995-12-16
None,Reading,ENG,2,1429.40002441,1995-12-17,1995-12-30
None,Reading,ENG,2,1433.61694336,1995-12-31,1996-01-01
None,Reading,ENG,2,1440.02429199,1996-01-02,1996-01-13
None,Reading,ENG,2,1433.12878418,1996-01-14,1996-01-20
None,Reading,ENG,2,1439.92797852,1996-01-21,1996-02-04
None,Reading,ENG,2,1429.17724609,1996-02-05,1996-02-10
None,Reading,ENG,2,1431.16699219,1996-02-11,1996-02-17
None,Reading,ENG,2,1433.50878906,1996-02-18,1996-02-24
None,Reading,ENG,2,1432.11096191,1996-02-25,1996-02-27
None,Reading,ENG,2,1441.3215332,1996-02-28,1996-03-02
None,Reading,ENG,2,1437.49951172,1996-03-03,1996-03-05
None,Reading,ENG,2,1437.75939941,1996-03-06,1996-03-09
None,Reading,ENG,2,1439.97521973,1996-03-10,1996-03-16
None,Reading,ENG,2,1422.95178223,1996-03-17,1996-03-19
None,Reading,ENG,2,1413.93505859,1996-03-20,1996-03-23
None,Reading,ENG,2,1408.11804199,1996-03-24,1996-03-30
None,Reading,ENG,2,1416.47229004,1996-03-31,1996-04-02
None,Reading,ENG,2,1407.48864746,1996-04-03,1996-04-06
None,Reading,ENG,2,1419.01293945,1996-04-07,1996-04-08
None,Reading,ENG,2,1408.67736816,1996-04-09,1996-04-13
None,Reading,ENG,2,1419.34545898,1996-04-14,1996-04-16
None,Reading,ENG,2,1410.13879395,1996-04-17,1996-04-20
None,Reading,ENG,2,1408.7767334,1996-04-21,1996-04-27
None,Reading,ENG,2,1394.40478516,1996-04-28,1996-04-30
None,Reading,ENG,2,1405.83044434,1996-05-01,1996-05-05
None,Reading,ENG,2,1415.63061523,1996-05-06,1996-08-17
None,Reading,ENG,2,1423.65710449,1996-08-18,1996-08-24
None,Reading,ENG,2,1414.19824219,1996-08-25,1996-08-28
None,Reading,ENG,2,1404.98034668,1996-08-29,1996-08-31
None,Reading,ENG,2,1405.01611328,1996-09-01,1996-09-08
None,Reading,ENG,2,1411.91577148,1996-09-09,1996-09-10
None,Reading,ENG,2,1399.56604004,1996-09-11,1996-09-11
None,Reading,ENG,2,1398.07739258,1996-09-12,1996-09-12
None,Reading,ENG,2,1398.2286377,1996-09-13,1996-09-14
None,Reading,ENG,2,1392.62524414,1996-09-15,1996-09-21
None,Reading,ENG,2,1377.9465332,1996-09-22,1996-09-24
None,Reading,ENG,2,1374.34655762,1996-09-25,1996-09-25
None,Reading,ENG,2,1375.85217285,1996-09-26,1996-09-26
None,Reading,ENG,2,1375.97717285,1996-09-27,1996-09-28
None,Reading,ENG,2,1370.40710449,1996-09-29,1996-10-05
None,Reading,ENG,2,1381.43029785,1996-10-06,1996-10-12
None,Reading,ENG,2,1378.96875,1996-10-13,1996-10-15
None,Reading,ENG,2,1391.42773438,1996-10-16,1996-10-16
None,Reading,ENG,2,1396.44750977,1996-10-17,1996-10-17
None,Reading,ENG,2,1399.29492188,1996-10-18,1996-10-19
None,Reading,ENG,2,1400.79858398,1996-10-20,1996-10-26
None,Reading,ENG,2,1409.14074707,1996-10-27,1996-10-29
None,Reading,ENG,2,1409.80712891,1996-10-30,1996-10-30
None,Reading,ENG,2,1401.96276855,1996-10-31,1996-10-31
None,Reading,ENG,2,1403.55786133,1996-11-01,1996-11-02
None,Reading,ENG,2,1396.73291016,1996-11-03,1996-11-16
None,Reading,ENG,2,1400.85974121,1996-11-17,1996-11-19
None,Reading,ENG,2,1403.58093262,1996-11-20,1996-11-23
None,Reading,ENG,2,1411.72875977,1996-11-24,1996-11-26
None,Reading,ENG,2,1409.78991699,1996-11-27,1996-11-28
None,Reading,ENG,2,1405.77441406,1996-11-29,1996-11-30
None,Reading,ENG,2,1396.20812988,1996-12-01,1996-12-03
None,Reading,ENG,2,1413.00244141,1996-12-04,1996-12-04
None,Reading,ENG,2,1420.52246094,1996-12-05,1996-12-07
None,Reading,ENG,2,1410.46472168,1996-12-08,1996-12-17
None,Reading,ENG,2,1410.68151855,1996-12-18,1996-12-21
None,Reading,ENG,2,1408.57409668,1996-12-22,1996-12-26
None,Reading,ENG,2,1407.07617188,1996-12-27,1996-12-28
None,Reading,ENG,2,1401.17956543,1996-12-29,1997-01-11
None,Reading,ENG,2,1399.71191406,1997-01-12,1997-01-18
None,Reading,ENG,2,1390.21765137,1997-01-19,1997-01-28
None,Reading,ENG,2,1402.26867676,1997-01-29,1997-02-01
None,Reading,ENG,2,1405.58850098,1997-02-02,1997-02-08
None,Reading,ENG,2,1415.22314453,1997-02-09,1997-02-22
None,Reading,ENG,2,1420.21276855,1997-02-23,1997-03-01
None,Reading,ENG,2,1414.55639648,1997-03-02,1997-03-04
None,Reading,ENG,2,1418.17138672,1997-03-05,1997-03-05
None,Reading,ENG,2,1430.24914551,1997-03-06,1997-03-06
None,Reading,ENG,2,1430.18933105,1997-03-07,1997-03-12
None,Reading,ENG,2,1446.29626465,1997-03-13,1997-03-15
None,Reading,ENG,2,1441.76220703,1997-03-16,1997-03-18
None,Reading,ENG,2,1438.81860352,1997-03-19,1997-03-19
None,Reading,ENG,2,1440.69494629,1997-03-20,1997-03-20
None,Reading,ENG,2,1441.67895508,1997-03-21,1997-03-22
None,Reading,ENG,2,1449.17260742,1997-03-23,1997-03-25
None,Reading,ENG,2,1443.61401367,1997-03-26,1997-03-29
None,Reading,ENG,2,1437.13916016,1997-03-30,1997-03-31
None,Reading,ENG,2,1429.26159668,1997-04-01,1997-04-05
None,Reading,ENG,2,1431.99536133,1997-04-06,1997-04-09
None,Reading,ENG,2,1430.6072998,1997-04-10,1997-04-10
None,Reading,ENG,2,1424.41662598,1997-04-11,1997-04-12
None,Reading,ENG,2,1432.18444824,1997-04-13,1997-04-19
None,Reading,ENG,2,1421.42224121,1997-04-20,1997-04-23
None,Reading,ENG,2,1411.60253906,1997-04-24,1997-04-24
None,Reading,ENG,2,1413.68811035,1997-04-25,1997-04-26
None,Reading,ENG,2,1420.93603516,1997-04-27,1997-05-03
None,Reading,ENG,2,1416.07800293,1997-05-04,1997-08-09
None,Reading,ENG,2,1417.1953125,1997-08-10,1997-08-13
None,Reading,ENG,2,1417.31201172,1997-08-14,1997-08-16
