Rank,Club,Country,Level,Elo,From,To
None,Sheffield United,ENG,1,1551.14025879,1946-07-07,1946-08-31
None,Sheffield United,ENG,1,1540.92285156,1946-09-01,1946-09-04
None,Sheffield United,ENG,1,1551.59912109,1946-09-05,1946-09-07
None,Sheffield United,ENG,1,1553.73400879,1946-09-08,1946-09-09
None,Sheffield United,ENG,1,1550.47021484,1946-09-10,1946-09-14
None,Sheffield United,ENG,1,1547.23510742,1946-09-15,1946-09-21
None,Sheffield United,ENG,1,1557.43786621,1946-09-22,1946-09-28
None,Sheffield United,ENG,1,1563.34179688,1946-09-29,1946-09-29
None,Sheffield United,ENG,1,1580.34179688,1946-09-30,1946-10-03
None,Sheffield United,ENG,1,1586.34179688,1946-10-04,1946-10-05
None,Sheffield United,ENG,1,1577.26318359,1946-10-06,1946-10-12
None,Sheffield United,ENG,1,1575.75524902,1946-10-13,1946-10-19
None,Sheffield United,ENG,1,1567.44116211,1946-10-20,1946-10-26
None,Sheffield United,ENG,1,1572.98632812,1946-10-27,1946-11-02
None,Sheffield United,ENG,1,1582.49609375,1946-11-03,1946-11-09
None,Sheffield United,ENG,1,1591.70239258,1946-11-10,1946-11-16
None,Sheffield United,ENG,1,1601.12792969,1946-11-17,1946-11-23
None,Sheffield United,ENG,1,1609.47192383,1946-11-24,1946-11-30
None,Sheffield United,ENG,1,1623.38037109,1946-12-01,1946-12-14
None,Sheffield United,ENG,1,1631.89916992,1946-12-15,1946-12-21
None,Sheffield United,ENG,1,1626.79211426,1946-12-22,1946-12-25
None,Sheffield United,ENG,1,1634.29882812,1946-12-26,1946-12-26
None,Sheffield United,ENG,1,1625.77111816,1946-12-27,1946-12-28
None,Sheffield United,ENG,1,1637.0703125,1946-12-29,1947-01-04
None,Sheffield United,ENG,1,1643.33532715,1947-01-05,1947-01-18
None,Sheffield United,ENG,1,1635.88671875,1947-01-19,1947-02-01
None,Sheffield United,ENG,1,1649.90014648,1947-02-02,1947-02-22
None,Sheffield United,ENG,1,1636.84460449,1947-02-23,1947-03-15
None,Sheffield United,ENG,1,1628.1574707,1947-03-16,1947-03-22
None,Sheffield United,ENG,1,1638.27429199,1947-03-23,1947-03-29
None,Sheffield United,ENG,1,1631.6529541,1947-03-30,1947-04-04
None,Sheffield United,ENG,1,1625.05627441,1947-04-05,1947-04-05
None,Sheffield United,ENG,1,1614.68493652,1947-04-06,1947-04-07
None,Sheffield United,ENG,1,1620.50720215,1947-04-08,1947-04-12
