Rank,Club,Country,Level,Elo,From,To
None,Sunderland,ENG,1,1551.14025879,1946-07-07,1946-08-31
None,Sunderland,ENG,1,1556.31469727,1946-09-01,1946-09-04
None,Sunderland,ENG,1,1564.6529541,1946-09-05,1946-09-07
None,Sunderland,ENG,1,1566.24682617,1946-09-08,1946-09-11
None,Sunderland,ENG,1,1553.7467041,1946-09-12,1946-09-14
None,Sunderland,ENG,1,1559.87109375,1946-09-15,1946-09-21
None,Sunderland,ENG,1,1578.2644043,1946-09-22,1946-09-25
None,Sunderland,ENG,1,1579.12573242,1946-09-26,1946-09-28
None,Sunderland,ENG,1,1583.8692627,1946-09-29,1946-09-29
None,Sunderland,ENG,1,1600.8692627,1946-09-30,1946-10-03
None,Sunderland,ENG,1,1606.8692627,1946-10-04,1946-10-05
None,Sunderland,ENG,1,1594.85400391,1946-10-06,1946-10-12
None,Sunderland,ENG,1,1602.60571289,1946-10-13,1946-10-19
None,Sunderland,ENG,1,1590.91552734,1946-10-20,1946-10-26
None,Sunderland,ENG,1,1608.98828125,1946-10-27,1946-11-02
None,Sunderland,ENG,1,1598.45825195,1946-11-03,1946-11-09
None,Sunderland,ENG,1,1613.68103027,1946-11-10,1946-11-16
None,Sunderland,ENG,1,1618.17736816,1946-11-17,1946-11-23
None,Sunderland,ENG,1,1609.83337402,1946-11-24,1946-11-30
None,Sunderland,ENG,1,1599.33947754,1946-12-01,1946-12-07
None,Sunderland,ENG,1,1600.81652832,1946-12-08,1946-12-14
None,Sunderland,ENG,1,1585.40258789,1946-12-15,1946-12-21
None,Sunderland,ENG,1,1595.15661621,1946-12-22,1946-12-25
None,Sunderland,ENG,1,1587.6796875,1946-12-26,1946-12-26
None,Sunderland,ENG,1,1584.46313477,1946-12-27,1946-12-28
None,Sunderland,ENG,1,1574.35241699,1946-12-29,1947-01-04
None,Sunderland,ENG,1,1557.34887695,1947-01-05,1947-01-18
None,Sunderland,ENG,1,1583.03210449,1947-01-19,1947-02-01
None,Sunderland,ENG,1,1592.43017578,1947-02-02,1947-02-08
None,Sunderland,ENG,1,1589.54138184,1947-02-09,1947-02-15
None,Sunderland,ENG,1,1581.49230957,1947-02-16,1947-03-01
None,Sunderland,ENG,1,1580.5748291,1947-03-02,1947-03-15
None,Sunderland,ENG,1,1587.46960449,1947-03-16,1947-03-22
None,Sunderland,ENG,1,1582.22961426,1947-03-23,1947-03-29
None,Sunderland,ENG,1,1588.85095215,1947-03-30,1947-04-04
None,Sunderland,ENG,1,1599.44372559,1947-04-05,1947-04-05
None,Sunderland,ENG,1,1602.60742188,1947-04-06,1947-04-08
None,Sunderland,ENG,1,1593.13269043,1947-04-09,1947-04-12
None,Sunderland,ENG,1,1596.0838623,1947-04-13,1947-04-13
None,Sunderland,ENG,1,1586.0838623,1947-04-14,1947-04-19
None,Sunderland,ENG,1,1582.08862305,1947-04-20,1947-04-26
None,Sunderland,ENG,1,1588.09399414,1947-04-27,1947-05-03
None,Sunderland,ENG,1,1583.68762207,1947-05-04,1947-05-04
None,Sunderland,ENG,1,1587.68762207,1947-05-05,1947-05-10
None,Sunderland,ENG,1,1596.89477539,1947-05-11,1947-05-17
None,Sunderland,ENG,1,1602.05456543,1947-05-18,1947-05-20
None,Sunderland,ENG,1,1589.05456543,1947-05-21,1947-05-24
None,Sunderland,ENG,1,1591.80908203,1947-05-25,1947-05-26
None,Sunderland,ENG,1,1608.80908203,1947-05-27,1947-08-23
None,Sunderland,ENG,1,1601.71337891,1947-08-24,1947-08-27
None,Sunderland,ENG,1,1598.95458984,1947-08-28,1947-08-30
None,Sunderland,ENG,1,1604.77734375,1947-08-31,1947-09-01
None,Sunderland,ENG,1,1597.25976562,1947-09-02,1947-09-06
None,Sunderland,ENG,1,1584.10998535,1947-09-07,1947-09-10
None,Sunderland,ENG,1,1585.9588623,1947-09-11,1947-09-13
None,Sunderland,ENG,1,1574.29394531,1947-09-14,1947-09-17
None,Sunderland,ENG,1,1563.17126465,1947-09-18,1947-09-20
None,Sunderland,ENG,1,1575.49584961,1947-09-21,1947-09-27
None,Sunderland,ENG,1,1576.18518066,1947-09-28,1947-10-04
None,Sunderland,ENG,1,1578.19311523,1947-10-05,1947-10-11
None,Sunderland,ENG,1,1574.19091797,1947-10-12,1947-10-18
None,Sunderland,ENG,1,1581.61242676,1947-10-19,1947-10-19
None,Sunderland,ENG,1,1609.61242676,1947-10-20,1947-10-25
None,Sunderland,ENG,1,1614.13574219,1947-10-26,1947-11-01
None,Sunderland,ENG,1,1620.44238281,1947-11-02,1947-11-08
None,Sunderland,ENG,1,1592.79931641,1947-11-09,1947-11-15
None,Sunderland,ENG,1,1607.36291504,1947-11-16,1947-11-22
None,Sunderland,ENG,1,1603.08007812,1947-11-23,1947-11-29
None,Sunderland,ENG,1,1612.81152344,1947-11-30,1947-12-06
None,Sunderland,ENG,1,1616.84179688,1947-12-07,1947-12-13
None,Sunderland,ENG,1,1605.03588867,1947-12-14,1947-12-20
None,Sunderland,ENG,1,1605.20056152,1947-12-21,1947-12-25
None,Sunderland,ENG,1,1612.85961914,1947-12-26,1947-12-26
None,Sunderland,ENG,1,1603.92358398,1947-12-27,1948-01-03
None,Sunderland,ENG,1,1611.45263672,1948-01-04,1948-01-17
None,Sunderland,ENG,1,1600.18847656,1948-01-18,1948-01-24
None,Sunderland,ENG,1,1587.94287109,1948-01-25,1948-01-31
None,Sunderland,ENG,1,1581.26538086,1948-02-01,1948-02-14
None,Sunderland,ENG,1,1574.38549805,1948-02-15,1948-02-21
None,Sunderland,ENG,1,1581.92211914,1948-02-22,1948-02-28
None,Sunderland,ENG,1,1580.78625488,1948-02-29,1948-03-06
None,Sunderland,ENG,1,1577.19348145,1948-03-07,1948-03-13
None,Sunderland,ENG,1,1565.86462402,1948-03-14,1948-03-20
None,Sunderland,ENG,1,1559.78125,1948-03-21,1948-03-26
None,Sunderland,ENG,1,1567.53393555,1948-03-27,1948-03-29
None,Sunderland,ENG,1,1563.98925781,1948-03-30,1948-04-03
None,Sunderland,ENG,1,1568.85595703,1948-04-04,1948-04-10
None,Sunderland,ENG,1,1579.32446289,1948-04-11,1948-04-11
None,Sunderland,ENG,1,1602.32446289,1948-04-12,1948-04-12
None,Sunderland,ENG,1,1609.32165527,1948-04-13,1948-04-17
None,Sunderland,ENG,1,1613.44494629,1948-04-18,1948-04-24
None,Sunderland,ENG,1,1622.93713379,1948-04-25,1948-05-01
None,Sunderland,ENG,1,1617.31567383,1948-05-02,1948-05-17
None,Sunderland,ENG,1,1644.31567383,1948-05-18,1948-08-21
None,Sunderland,ENG,1,1652.25549316,1948-08-22,1948-08-25
None,Sunderland,ENG,1,1663.43237305,1948-08-26,1948-08-28
None,Sunderland,ENG,1,1654.09399414,1948-08-29,1948-09-01
None,Sunderland,ENG,1,1653.59729004,1948-09-02,1948-09-04
None,Sunderland,ENG,1,1652.64538574,1948-09-05,1948-09-06
None,Sunderland,ENG,1,1669.68334961,1948-09-07,1948-09-11
None,Sunderland,ENG,1,1673.61828613,1948-09-12,1948-09-15
None,Sunderland,ENG,1,1680.46850586,1948-09-16,1948-09-18
None,Sunderland,ENG,1,1680.4342041,1948-09-19,1948-09-25
None,Sunderland,ENG,1,1669.67224121,1948-09-26,1948-10-02
None,Sunderland,ENG,1,1673.01367188,1948-10-03,1948-10-09
None,Sunderland,ENG,1,1668.87255859,1948-10-10,1948-10-10
None,Sunderland,ENG,1,1681.87255859,1948-10-11,1948-10-16
