Rank,Club,Country,Level,Elo,From,To
None,Wigan,ENG,2,1371.7689209,2003-07-01,2003-08-09
None,Wigan,ENG,2,1366.08728027,2003-08-10,2003-08-13
None,Wigan,ENG,2,1367.31616211,2003-08-14,2003-08-14
None,Wigan,ENG,2,1367.3449707,2003-08-15,2003-08-16
None,Wigan,ENG,2,1368.18713379,2003-08-17,2003-08-23
None,Wigan,ENG,2,1381.99816895,2003-08-24,2003-08-26
None,Wigan,ENG,2,1392.36413574,2003-08-27,2003-08-27
None,Wigan,ENG,2,1387.93347168,2003-08-28,2003-08-28
None,Wigan,ENG,2,1387.93505859,2003-08-29,2003-08-30
None,Wigan,ENG,2,1406.58850098,2003-08-31,2003-09-13
None,Wigan,ENG,2,1421.29858398,2003-09-14,2003-09-16
None,Wigan,ENG,2,1435.59179688,2003-09-17,2003-09-17
None,Wigan,ENG,2,1428.54125977,2003-09-18,2003-09-20
None,Wigan,ENG,2,1434.20996094,2003-09-21,2003-09-24
None,Wigan,ENG,2,1431.69226074,2003-09-25,2003-09-27
None,Wigan,ENG,2,1432.3918457,2003-09-28,2003-09-30
None,Wigan,ENG,2,1431.88232422,2003-10-01,2003-10-01
None,Wigan,ENG,2,1422.43505859,2003-10-02,2003-10-04
None,Wigan,ENG,2,1422.4296875,2003-10-05,2003-10-11
None,Wigan,ENG,2,1423.45166016,2003-10-12,2003-10-14
None,Wigan,ENG,2,1429.05664062,2003-10-15,2003-10-15
None,Wigan,ENG,2,1421.97839355,2003-10-16,2003-10-18
None,Wigan,ENG,2,1427.40771484,2003-10-19,2003-10-21
None,Wigan,ENG,2,1424.73803711,2003-10-22,2003-10-22
None,Wigan,ENG,2,1429.36804199,2003-10-23,2003-10-25
None,Wigan,ENG,2,1418.87854004,2003-10-26,2003-11-01
None,Wigan,ENG,2,1432.54992676,2003-11-02,2003-11-04
None,Wigan,ENG,2,1442.06298828,2003-11-05,2003-11-05
None,Wigan,ENG,2,1443.00708008,2003-11-06,2003-11-06
None,Wigan,ENG,2,1444.76586914,2003-11-07,2003-11-08
None,Wigan,ENG,2,1439.16870117,2003-11-09,2003-11-22
None,Wigan,ENG,2,1438.11523438,2003-11-23,2003-11-25
None,Wigan,ENG,2,1444.47631836,2003-11-26,2003-11-26
None,Wigan,ENG,2,1444.09033203,2003-11-27,2003-11-27
None,Wigan,ENG,2,1444.36047363,2003-11-28,2003-11-29
None,Wigan,ENG,2,1437.93688965,2003-11-30,2003-12-02
None,Wigan,ENG,2,1441.46057129,2003-12-03,2003-12-06
None,Wigan,ENG,2,1429.15026855,2003-12-07,2003-12-09
None,Wigan,ENG,2,1434.99975586,2003-12-10,2003-12-10
None,Wigan,ENG,2,1435.78808594,2003-12-11,2003-12-13
None,Wigan,ENG,2,1440.38684082,2003-12-14,2003-12-20
None,Wigan,ENG,2,1449.74084473,2003-12-21,2003-12-26
